time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.492386	3	1	3	1032	0.00238571
0.493386	1	1	3	1032	0.00238571
0.493386	3	1	3	1032	0.00238571
0.494386	1	1	3	1032	0.00238571
0.494386	3	1	3	1032	0.00238571
0.495386	1	1	3	1032	0.00238571
0.495386	3	1	3	1032	0.00238571
0.496386	1	1	3	1032	0.00238571
0.496386	3	1	3	1032	0.00238571
0.497386	1	1	3	1032	0.00238571
0.497386	3	1	3	1032	0.00238571
0.498386	1	1	3	1032	0.00238571
0.498386	3	1	3	1032	0.00238571
0.499386	1	1	3	1032	0.00238571
0.499386	3	1	3	1032	0.00238571
0.500386	1	1	3	1032	0.00238571
0.500386	3	1	3	1032	0.00238571
0.501386	1	1	3	1032	0.00238571
0.501386	3	1	3	1032	0.00238571
0.502386	1	1	3	1032	0.00238571
0.502386	3	1	3	1032	0.00238571
0.503386	1	1	3	1032	0.00238571
0.503386	3	1	3	1032	0.00238571
0.504386	1	1	3	1032	0.00238571
0.504386	3	1	3	1032	0.00238571
0.505386	1	1	3	1032	0.00238571
0.505386	3	1	3	1032	0.00238571
0.506386	1	1	3	1032	0.00238571
0.506386	3	1	3	1032	0.00238571
0.507386	1	1	3	1032	0.00238571
0.507386	3	1	3	1032	0.00238571
0.508386	1	1	3	1032	0.00238571
0.508386	3	1	3	1032	0.00238571
0.509386	1	1	3	1032	0.00238571
0.509386	3	1	3	1032	0.00238571
0.510386	1	1	3	1032	0.00238571
0.510386	3	1	3	1032	0.00238571
0.511386	1	1	3	1032	0.00238571
0.511386	3	1	3	1032	0.00238571
0.512386	1	1	3	1032	0.00238571
0.512386	3	1	3	1032	0.00238571
0.513386	1	1	3	1032	0.00238571
0.513386	3	1	3	1032	0.00238571
0.514386	1	1	3	1032	0.00238571
0.514386	3	1	3	1032	0.00238571
0.515386	1	1	3	1032	0.00238571
0.515386	3	1	3	1032	0.00238571
0.516386	1	1	3	1032	0.00238571
0.516386	3	1	3	1032	0.00238571
0.517386	1	1	3	1032	0.00238571
0.517386	3	1	3	1032	0.00238571
0.518386	1	1	3	1032	0.00238571
0.518386	3	1	3	1032	0.00238571
0.519386	1	1	3	1032	0.00238571
0.519386	3	1	3	1032	0.00238571
0.520386	1	1	3	1032	0.00238571
0.520386	3	1	3	1032	0.00238571
0.521386	1	1	3	1032	0.00238571
0.521386	3	1	3	1032	0.00238571
0.522386	1	1	3	1032	0.00238571
0.522386	3	1	3	1032	0.00238571
0.523386	1	1	3	1032	0.00238571
0.523386	3	1	3	1032	0.00238571
0.524386	1	1	3	1032	0.00238571
0.524386	3	1	3	1032	0.00238571
0.525386	1	1	3	1032	0.00238571
0.525386	3	1	3	1032	0.00238571
0.526386	1	1	3	1032	0.00238571
0.526386	3	1	3	1032	0.00238571
0.527386	1	1	3	1032	0.00238571
0.527386	3	1	3	1032	0.00238571
0.528386	1	1	3	1032	0.00238571
0.528386	3	1	3	1032	0.00238571
0.529386	1	1	3	1032	0.00238571
0.529386	3	1	3	1032	0.00238571
0.530386	1	1	3	1032	0.00238571
0.530386	3	1	3	1032	0.00238571
0.531386	1	1	3	1032	0.00238571
0.531386	3	1	3	1032	0.00238571
0.532386	1	1	3	1032	0.00238571
0.532386	3	1	3	1032	0.00238571
0.533386	1	1	3	1032	0.00238571
0.533386	3	1	3	1032	0.00238571
0.534386	1	1	3	1032	0.00238571
0.534386	3	1	3	1032	0.00238571
0.535386	1	1	3	1032	0.00238571
0.535386	3	1	3	1032	0.00238571
0.536386	1	1	3	1032	0.00238571
0.536386	3	1	3	1032	0.00238571
0.537386	1	1	3	1032	0.00238571
0.537386	3	1	3	1032	0.00238571
0.538386	1	1	3	1032	0.00238571
0.538386	3	1	3	1032	0.00238571
0.539386	1	1	3	1032	0.00238571
0.539386	3	1	3	1032	0.00238571
0.540386	1	1	3	1032	0.00238571
0.540386	3	1	3	1032	0.00238571
0.541386	1	1	3	1032	0.00238571
0.541386	3	1	3	1032	0.00238571
0.542386	1	1	3	1032	0.00238571
0.542386	3	1	3	1032	0.00238571
0.543386	1	1	3	1032	0.00238571
0.543386	3	1	3	1032	0.00238571
0.544386	1	1	3	1032	0.00238571
0.544386	3	1	3	1032	0.00238571
0.545386	1	1	3	1032	0.00238571
0.545386	3	1	3	1032	0.00238571
0.546386	1	1	3	1032	0.00238571
0.546386	3	1	3	1032	0.00238571
0.547386	1	1	3	1032	0.00238571
0.547386	3	1	3	1032	0.00238571
0.548386	1	1	3	1032	0.00238571
0.548386	3	1	3	1032	0.00238571
0.549386	1	1	3	1032	0.00238571
0.549386	3	1	3	1032	0.00238571
0.550386	1	1	3	1032	0.00238571
0.550386	3	1	3	1032	0.00238571
0.551386	1	1	3	1032	0.00238571
0.551386	3	1	3	1032	0.00238571
0.552386	1	1	3	1032	0.00238571
0.552386	3	1	3	1032	0.00238571
0.553386	1	1	3	1032	0.00238571
0.553386	3	1	3	1032	0.00238571
0.554386	1	1	3	1032	0.00238571
0.554386	3	1	3	1032	0.00238571
0.555386	1	1	3	1032	0.00238571
0.555386	3	1	3	1032	0.00238571
0.556386	1	1	3	1032	0.00238571
0.556386	3	1	3	1032	0.00238571
0.557386	1	1	3	1032	0.00238571
0.557386	3	1	3	1032	0.00238571
0.558386	1	1	3	1032	0.00238571
0.558386	3	1	3	1032	0.00238571
0.559386	1	1	3	1032	0.00238571
