time(s)	cellId	rnti	lcid	packetSize	delay(s)
2.41246	1	4	3	270	0.00238571
2.41253	1	5	3	343	0.00245714
2.41267	1	6	3	164	0.0026
2.41274	1	7	3	343	0.00267142
2.41296	1	8	3	129	0.00288571
2.41303	1	10	3	35	0.00795714
2.41339	1	3	3	410	0.00231428
2.4136	1	4	3	410	0.00252857
2.41381	1	6	3	252	0.00274285
2.41403	1	8	3	129	0.00295714
2.41439	1	3	3	229	0.00231428
2.4146	1	4	3	229	0.00252857
2.41481	1	6	3	252	0.00274285
2.41503	1	8	3	129	0.00295714
2.41553	1	6	3	296	0.00245714
2.41603	1	8	3	317	0.00295714
2.41703	1	8	3	303	0.00295714
2.42403	1	10	3	129	0.00795714
2.42496	1	10	3	176	0.00788571
2.42596	1	10	3	270	0.00788571
2.42703	1	10	3	270	0.00795714
2.42796	1	10	3	162	0.00788571
2.50739	1	1	3	1032	0.00231428
2.50746	1	2	3	1032	0.00238571
2.50753	1	3	3	129	0.00245714
2.5076	1	4	3	129	0.00252857
2.50767	1	6	3	76	0.0026
2.50774	1	7	3	691	0.00267142
2.50781	1	8	3	35	0.00274285
2.50789	1	9	3	1032	0.00281428
2.50903	1	5	3	691	0.00295714
2.51231	1	3	3	270	0.00224286
2.51246	1	4	3	270	0.00238571
2.51267	1	6	3	252	0.0026
2.51274	1	7	3	343	0.00267142
2.51296	1	8	3	129	0.00288571
2.51303	1	10	3	35	0.00795714
2.51339	1	3	3	410	0.00231428
2.5136	1	4	3	410	0.00252857
2.51381	1	6	3	252	0.00274285
2.51403	1	8	3	129	0.00295714
2.51431	1	3	3	229	0.00224286
2.51453	1	4	3	229	0.00245714
2.5146	1	5	3	343	0.00252857
2.51481	1	6	3	252	0.00274285
2.51503	1	8	3	129	0.00295714
2.51553	1	6	3	208	0.00245714
2.51603	1	8	3	317	0.00295714
2.51703	1	8	3	303	0.00295714
2.52403	1	10	3	129	0.00795714
2.52503	1	10	3	129	0.00795714
2.52603	1	10	3	270	0.00795714
2.52703	1	10	3	223	0.00795714
2.52803	1	10	3	256	0.00795714
2.60739	1	1	3	1032	0.00231428
2.60746	1	2	3	1032	0.00238571
2.60753	1	3	3	129	0.00245714
2.6076	1	4	3	129	0.00252857
2.60767	1	5	3	691	0.0026
2.60774	1	6	3	76	0.00267142
2.60781	1	7	3	691	0.00274285
2.60789	1	8	3	35	0.00281428
2.60796	1	9	3	1032	0.00288571
2.61231	1	3	3	270	0.00224286
2.61246	1	4	3	270	0.00238571
2.61253	1	5	3	343	0.00245714
2.61267	1	6	3	164	0.0026
2.61274	1	7	3	343	0.00267142
2.61296	1	8	3	129	0.00288571
2.61303	1	10	3	35	0.00795714
2.61339	1	3	3	410	0.00231428
2.6136	1	4	3	410	0.00252857
2.61381	1	6	3	252	0.00274285
2.61403	1	8	3	129	0.00295714
2.61439	1	3	3	229	0.00231428
2.6146	1	4	3	229	0.00252857
2.61481	1	6	3	252	0.00274285
2.61503	1	8	3	129	0.00295714
2.61553	1	6	3	296	0.00245714
2.61603	1	8	3	317	0.00295714
2.61703	1	8	3	303	0.00295714
2.62403	1	10	3	129	0.00795714
2.62503	1	10	3	270	0.00795714
2.62603	1	10	3	270	0.00795714
2.62703	1	10	3	270	0.00795714
2.62803	1	10	3	68	0.00795714
2.70739	1	1	3	1032	0.00231428
2.70746	1	2	3	1032	0.00238571
2.70753	1	3	3	129	0.00245714
2.7076	1	4	3	129	0.00252857
2.70767	1	5	3	691	0.0026
2.70774	1	6	3	76	0.00267142
2.70781	1	7	3	691	0.00274285
2.70789	1	8	3	35	0.00281428
2.70796	1	9	3	1032	0.00288571
2.71231	1	3	3	270	0.00224286
2.71246	1	4	3	270	0.00238571
2.71253	1	5	3	343	0.00245714
2.71267	1	6	3	164	0.0026
2.71274	1	7	3	343	0.00267142
2.71289	1	8	3	82	0.00281428
2.71296	1	10	3	35	0.00788571
2.71339	1	3	3	410	0.00231428
2.7136	1	4	3	410	0.00252857
2.71381	1	6	3	252	0.00274285
2.71403	1	8	3	129	0.00295714
2.71439	1	3	3	229	0.00231428
2.7146	1	4	3	229	0.00252857
2.71481	1	6	3	252	0.00274285
2.71503	1	8	3	129	0.00295714
2.71553	1	6	3	296	0.00245714
2.71603	1	8	3	317	0.00295714
2.71703	1	8	3	350	0.00295714
2.72296	1	10	3	129	0.00788571
2.72403	1	10	3	129	0.00795714
2.72503	1	10	3	176	0.00795714
2.72603	1	10	3	270	0.00795714
2.72703	1	10	3	270	0.00795714
2.73303	1	10	3	35	0.00795714
2.80746	1	3	3	129	0.00238571
2.80753	1	4	3	129	0.00245714
2.8076	1	5	3	691	0.00252857
2.80767	1	6	3	76	0.0026
2.80774	1	7	3	691	0.00267142
2.80781	1	8	3	35	0.00274285
2.80789	1	9	3	1032	0.00281428
2.80896	1	1	3	1032	0.00288571
2.80903	1	2	3	1032	0.00295714
2.81231	1	3	3	270	0.00224286
2.81246	1	4	3	270	0.00238571
2.81253	1	5	3	343	0.00245714
2.81267	1	6	3	164	0.0026
2.81274	1	7	3	343	0.00267142
2.81296	1	8	3	129	0.00288571
2.81303	1	10	3	35	0.00795714
2.81339	1	3	3	410	0.00231428
2.8136	1	4	3	410	0.00252857
2.81381	1	6	3	252	0.00274285
2.81403	1	8	3	129	0.00295714
2.81439	1	3	3	229	0.00231428
2.8146	1	4	3	229	0.00252857
2.81481	1	6	3	252	0.00274285
2.81503	1	8	3	129	0.00295714
2.81553	1	6	3	296	0.00245714
2.81603	1	8	3	317	0.00295714
2.81703	1	8	3	303	0.00295714
2.82403	1	10	3	129	0.00795714
2.82496	1	10	3	176	0.00788571
2.82596	1	10	3	270	0.00788571
2.82703	1	10	3	270	0.00795714
2.82796	1	10	3	162	0.00788571
2.90739	1	1	3	1032	0.00231428
2.90746	1	2	3	1032	0.00238571
2.90753	1	3	3	129	0.00245714
2.9076	1	4	3	129	0.00252857
2.90767	1	6	3	76	0.0026
2.90774	1	7	3	691	0.00267142
2.90781	1	8	3	35	0.00274285
2.90789	1	9	3	1032	0.00281428
2.90903	1	5	3	691	0.00295714
2.91231	1	3	3	270	0.00224286
2.91246	1	4	3	270	0.00238571
2.91267	1	6	3	252	0.0026
2.91274	1	7	3	343	0.00267142
2.91296	1	8	3	129	0.00288571
2.91303	1	10	3	35	0.00795714
2.91339	1	3	3	410	0.00231428
2.9136	1	4	3	410	0.00252857
2.91381	1	6	3	252	0.00274285
2.91403	1	8	3	129	0.00295714
2.91431	1	3	3	229	0.00224286
2.91453	1	4	3	229	0.00245714
2.9146	1	5	3	343	0.00252857
2.91481	1	6	3	252	0.00274285
2.91503	1	8	3	129	0.00295714
2.91553	1	6	3	208	0.00245714
2.91603	1	8	3	317	0.00295714
2.91703	1	8	3	303	0.00295714
2.92403	1	10	3	129	0.00795714
2.92503	1	10	3	129	0.00795714
2.92603	1	10	3	270	0.00795714
2.92703	1	10	3	223	0.00795714
2.92803	1	10	3	256	0.00795714
3.00739	1	1	3	1032	0.00231428
3.00746	1	2	3	1032	0.00238571
3.00753	1	3	3	129	0.00245714
3.0076	1	4	3	129	0.00252857
3.00767	1	5	3	691	0.0026
3.00774	1	6	3	76	0.00267142
3.00781	1	7	3	691	0.00274285
3.00789	1	8	3	35	0.00281428
3.00796	1	9	3	1032	0.00288571
3.01231	1	3	3	270	0.00224286
3.01246	1	4	3	270	0.00238571
3.01253	1	5	3	343	0.00245714
3.01267	1	6	3	164	0.0026
3.01274	1	7	3	343	0.00267142
3.01296	1	8	3	129	0.00288571
3.01303	1	10	3	35	0.00795714
3.01339	1	3	3	410	0.00231428
3.0136	1	4	3	410	0.00252857
3.01381	1	6	3	252	0.00274285
3.01403	1	8	3	129	0.00295714
3.01439	1	3	3	229	0.00231428
3.0146	1	4	3	229	0.00252857
3.01481	1	6	3	252	0.00274285
3.01503	1	8	3	129	0.00295714
3.01553	1	6	3	296	0.00245714
3.01603	1	8	3	317	0.00295714
3.01703	1	8	3	303	0.00295714
3.02403	1	10	3	129	0.00795714
3.02503	1	10	3	270	0.00795714
3.02603	1	10	3	270	0.00795714
3.02703	1	10	3	270	0.00795714
3.02803	1	10	3	68	0.00795714
3.10739	1	1	3	1032	0.00231428
3.10746	1	2	3	1032	0.00238571
3.10753	1	3	3	129	0.00245714
3.1076	1	4	3	129	0.00252857
3.10767	1	5	3	691	0.0026
3.10774	1	6	3	76	0.00267142
3.10781	1	7	3	691	0.00274285
3.10789	1	8	3	35	0.00281428
3.10796	1	9	3	1032	0.00288571
3.11231	1	3	3	270	0.00224286
3.11246	1	4	3	270	0.00238571
3.11253	1	5	3	343	0.00245714
3.11267	1	6	3	164	0.0026
3.11274	1	7	3	343	0.00267142
3.11289	1	8	3	82	0.00281428
3.11296	1	10	3	35	0.00788571
3.11339	1	3	3	410	0.00231428
3.1136	1	4	3	410	0.00252857
3.11381	1	6	3	252	0.00274285
3.11403	1	8	3	129	0.00295714
3.11439	1	3	3	229	0.00231428
3.1146	1	4	3	229	0.00252857
3.11481	1	6	3	252	0.00274285
3.11503	1	8	3	129	0.00295714
3.11553	1	6	3	296	0.00245714
3.11603	1	8	3	317	0.00295714
3.11703	1	8	3	350	0.00295714
3.12296	1	10	3	129	0.00788571
3.12403	1	10	3	129	0.00795714
3.12503	1	10	3	176	0.00795714
3.12603	1	10	3	270	0.00795714
3.12703	1	10	3	270	0.00795714
3.13303	1	10	3	35	0.00795714
3.20746	1	3	3	129	0.00238571
3.20753	1	4	3	129	0.00245714
3.2076	1	5	3	691	0.00252857
3.20774	1	7	3	691	0.00267142
3.20781	1	8	3	35	0.00274285
3.20789	1	9	3	1032	0.00281428
3.20896	1	1	3	1032	0.00288571
3.20903	1	2	3	1032	0.00295714
3.21231	1	3	3	270	0.00224286
3.21253	1	4	3	410	0.00245714
3.2126	1	5	3	343	0.00252857
3.21267	1	7	3	343	0.0026
3.21289	1	8	3	129	0.00281428
3.21296	1	10	3	35	0.00788571
3.21303	1	6	3	76	0.00795714
3.21346	1	3	3	551	0.00238571
3.21374	1	4	3	497	0.00267142
3.21403	1	8	3	176	0.00295714
3.21431	1	3	3	88	0.00224286
3.21503	1	8	3	410	0.00295714
3.21603	1	8	3	290	0.00295714
3.21853	1	6	3	340	0.00245714
3.21946	1	6	3	340	0.00238571
3.22046	1	6	3	282	0.00238571
3.22303	1	10	3	129	0.00795714
3.22403	1	10	3	129	0.00795714
3.22496	1	10	3	176	0.00788571
3.22596	1	10	3	176	0.00788571
3.22703	1	10	3	397	0.00795714
3.30739	1	1	3	1032	0.00231428
3.30746	1	2	3	1032	0.00238571
3.30753	1	3	3	129	0.00245714
3.3076	1	4	3	129	0.00252857
3.30767	1	6	3	76	0.0026
3.30774	1	7	3	691	0.00267142
3.30781	1	8	3	35	0.00274285
3.30789	1	9	3	1032	0.00281428
3.30903	1	5	3	691	0.00295714
3.31231	1	3	3	270	0.00224286
3.31246	1	4	3	270	0.00238571
3.31267	1	6	3	252	0.0026
3.31274	1	7	3	343	0.00267142
3.31296	1	8	3	129	0.00288571
3.31303	1	10	3	35	0.00795714
3.31339	1	3	3	410	0.00231428
3.3136	1	4	3	410	0.00252857
3.31381	1	6	3	252	0.00274285
3.31403	1	8	3	129	0.00295714
3.31431	1	3	3	229	0.00224286
3.31453	1	4	3	229	0.00245714
3.3146	1	5	3	343	0.00252857
3.31481	1	6	3	252	0.00274285
3.31503	1	8	3	129	0.00295714
3.31553	1	6	3	208	0.00245714
3.31603	1	8	3	317	0.00295714
3.31703	1	8	3	303	0.00295714
3.32403	1	10	3	129	0.00795714
3.32503	1	10	3	129	0.00795714
3.32603	1	10	3	270	0.00795714
3.32703	1	10	3	223	0.00795714
3.32803	1	10	3	256	0.00795714
3.40739	1	1	3	1032	0.00231428
3.40746	1	2	3	1032	0.00238571
3.40753	1	3	3	129	0.00245714
3.4076	1	4	3	129	0.00252857
3.40767	1	5	3	691	0.0026
3.40774	1	6	3	76	0.00267142
3.40781	1	7	3	691	0.00274285
3.40789	1	8	3	35	0.00281428
3.40796	1	9	3	1032	0.00288571
3.41231	1	3	3	270	0.00224286
3.41246	1	4	3	270	0.00238571
3.41253	1	5	3	343	0.00245714
3.41267	1	6	3	164	0.0026
3.41274	1	7	3	343	0.00267142
3.41296	1	8	3	129	0.00288571
3.41303	1	10	3	35	0.00795714
3.41339	1	3	3	410	0.00231428
3.4136	1	4	3	410	0.00252857
3.41381	1	6	3	252	0.00274285
3.41403	1	8	3	129	0.00295714
3.41439	1	3	3	229	0.00231428
3.4146	1	4	3	229	0.00252857
3.41481	1	6	3	252	0.00274285
3.41503	1	8	3	129	0.00295714
3.41553	1	6	3	296	0.00245714
3.41603	1	8	3	317	0.00295714
3.41703	1	8	3	303	0.00295714
3.42403	1	10	3	129	0.00795714
3.42503	1	10	3	270	0.00795714
3.42603	1	10	3	270	0.00795714
3.42703	1	10	3	270	0.00795714
3.42803	1	10	3	68	0.00795714
3.50739	1	1	3	1032	0.00231428
3.50746	1	2	3	1032	0.00238571
3.50753	1	3	3	129	0.00245714
3.5076	1	4	3	129	0.00252857
3.50767	1	5	3	691	0.0026
3.50774	1	6	3	76	0.00267142
3.50781	1	7	3	691	0.00274285
3.50789	1	8	3	35	0.00281428
3.50796	1	9	3	1032	0.00288571
3.51231	1	3	3	270	0.00224286
3.51246	1	4	3	270	0.00238571
3.51253	1	5	3	343	0.00245714
3.51267	1	6	3	164	0.0026
3.51274	1	7	3	343	0.00267142
3.51289	1	8	3	82	0.00281428
3.51296	1	10	3	35	0.00788571
3.51339	1	3	3	410	0.00231428
3.5136	1	4	3	410	0.00252857
3.51381	1	6	3	252	0.00274285
3.51403	1	8	3	129	0.00295714
3.51439	1	3	3	229	0.00231428
3.5146	1	4	3	229	0.00252857
3.51481	1	6	3	252	0.00274285
3.51503	1	8	3	129	0.00295714
3.51553	1	6	3	296	0.00245714
3.51603	1	8	3	317	0.00295714
3.51703	1	8	3	350	0.00295714
3.52296	1	10	3	129	0.00788571
3.52403	1	10	3	129	0.00795714
3.52503	1	10	3	176	0.00795714
3.52603	1	10	3	270	0.00795714
3.52703	1	10	3	270	0.00795714
3.53303	1	10	3	35	0.00795714
3.60746	1	3	3	129	0.00238571
