Time	CellId	RNTI	BWPId	SINR(dB)
0.413071	1	1	0	19.2414
0.413071	3	1	0	19.0675
0.414071	1	1	0	19.3421
0.414071	3	1	0	12.2218
0.415071	1	1	0	19.9925
0.415071	3	1	0	12.7441
0.416071	1	1	0	19.8925
0.416071	3	1	0	24.8991
0.417071	1	1	0	20.0939
0.417071	3	1	0	11.7329
0.418071	1	1	0	18.761
0.418071	3	1	0	14.0833
0.419071	1	1	0	18.5483
0.419071	3	1	0	25.8641
0.420071	1	1	0	19.9026
0.420071	3	1	0	11.2963
0.424071	1	1	0	40.9041
0.425071	1	1	0	20.9881
0.425071	3	1	0	15.7845
0.430071	1	1	0	23.1298
0.430071	3	1	0	21.5162
0.435071	1	1	0	23.1374
0.435071	3	1	0	14.3715
0.440071	1	1	0	21.3716
0.440071	3	1	0	11.9961
0.445071	1	1	0	19.412
0.445071	3	1	0	14.6428
0.450071	1	1	0	21.2418
0.450071	3	1	0	24.8796
0.455071	1	1	0	19.4989
0.455071	3	1	0	17.5135
0.460071	1	1	0	19.4589
0.460071	3	1	0	12.7082
0.465071	1	1	0	19.8363
0.465071	3	1	0	14.0818
0.470071	1	1	0	18.9211
0.470071	3	1	0	24.0607
0.475071	1	1	0	21.4203
0.475071	3	1	0	18.3044
0.480071	1	1	0	18.5767
0.480071	3	1	0	12.6824
0.485071	1	1	0	19.8482
0.485071	3	1	0	13.2539
0.490071	1	1	0	18.9779
0.490071	3	1	0	20.6579
0.495071	1	1	0	19.9029
0.495071	3	1	0	21.5166
0.500071	1	1	0	19.1995
0.500071	3	1	0	14.5919
0.504071	1	1	0	40.1153
0.505071	1	1	0	18.7616
0.505071	3	1	0	13.5434
0.510071	1	1	0	21.1497
0.510071	3	1	0	18.1089
0.515071	1	1	0	22.1618
0.515071	3	1	0	25.837
0.520071	1	1	0	23.7073
0.520071	3	1	0	15.6833
0.525071	1	1	0	21.3315
0.525071	3	1	0	13.338
0.530071	1	1	0	22.5172
0.530071	3	1	0	18.7271
0.535071	1	1	0	21.4878
0.535071	3	1	0	26.1579
0.540071	1	1	0	20.4848
0.540071	3	1	0	19.7682
0.545071	1	1	0	21.9397
0.545071	3	1	0	14.4939
0.550071	1	1	0	20.9534
0.550071	3	1	0	16.8142
0.555071	1	1	0	21.0732
0.555071	3	1	0	24.1867
0.560071	1	1	0	19.917
0.560071	3	1	0	24.693
0.565071	1	1	0	20.572
0.565071	3	1	0	14.5785
0.570071	1	1	0	18.5651
0.570071	3	1	0	14.973
0.575071	1	1	0	19.2304
0.575071	3	1	0	22.3658
0.580071	1	1	0	20.779
0.580071	3	1	0	25.6379
0.584071	1	1	0	39.5308
0.585071	1	1	0	18.5618
0.585071	3	1	0	15.651
0.590071	1	1	0	20.3214
0.590071	3	1	0	14.4124
0.595071	1	1	0	19.2656
0.595071	3	1	0	21.2457
0.600071	1	1	0	20.5194
0.600071	3	1	0	28.039
0.605071	1	1	0	19.1452
0.605071	3	1	0	18.5153
0.610071	1	1	0	21.9292
0.610071	3	1	0	16.1127
0.615071	1	1	0	22.4155
0.615071	3	1	0	22.3359
0.620071	1	1	0	21.3628
0.620071	3	1	0	23.8928
0.625071	1	1	0	22.2427
0.625071	3	1	0	24.0961
0.630071	1	1	0	21.3884
0.630071	3	1	0	15.7755
0.635071	1	1	0	22.0107
0.635071	3	1	0	17.8116
0.640071	1	1	0	23.0462
0.640071	3	1	0	23.6454
0.645071	1	1	0	21.831
0.645071	3	1	0	25.5174
0.650071	1	1	0	20.5866
0.650071	3	1	0	15.8491
0.655071	1	1	0	20.2114
