time(s)	cellId	rnti	lcid	packetSize
0.533	3	1	3	1032
0.534	1	1	3	1032
0.534	3	1	3	1032
0.535	1	1	3	1032
0.535	3	1	3	1032
0.536	1	1	3	1032
0.536	3	1	3	1032
0.537	1	1	3	1032
0.537	3	1	3	1032
0.538	1	1	3	1032
0.538	3	1	3	1032
0.539	1	1	3	1032
0.539	3	1	3	1032
0.54	1	1	3	1032
0.54	3	1	3	1032
0.541	1	1	3	1032
0.541	3	1	3	1032
0.542	1	1	3	1032
0.542	3	1	3	1032
0.543	1	1	3	1032
0.543	3	1	3	1032
0.544	1	1	3	1032
0.544	3	1	3	1032
0.545	1	1	3	1032
0.545	3	1	3	1032
0.546	1	1	3	1032
0.546	3	1	3	1032
0.547	1	1	3	1032
0.547	3	1	3	1032
0.548	1	1	3	1032
0.548	3	1	3	1032
0.549	1	1	3	1032
0.549	3	1	3	1032
0.55	1	1	3	1032
0.55	3	1	3	1032
0.551	1	1	3	1032
0.551	3	1	3	1032
0.552	1	1	3	1032
0.552	3	1	3	1032
0.553	1	1	3	1032
0.553	3	1	3	1032
0.554	1	1	3	1032
0.554	3	1	3	1032
0.555	1	1	3	1032
0.555	3	1	3	1032
0.556	1	1	3	1032
0.556	3	1	3	1032
0.557	1	1	3	1032
0.557	3	1	3	1032
0.558	1	1	3	1032
0.558	3	1	3	1032
0.559	1	1	3	1032
0.559	3	1	3	1032
0.56	1	1	3	1032
0.56	3	1	3	1032
0.561	1	1	3	1032
0.561	3	1	3	1032
0.562	1	1	3	1032
0.562	3	1	3	1032
0.563	1	1	3	1032
0.563	3	1	3	1032
0.564	1	1	3	1032
0.564	3	1	3	1032
0.565	1	1	3	1032
0.565	3	1	3	1032
0.566	1	1	3	1032
0.566	3	1	3	1032
0.567	1	1	3	1032
0.567	3	1	3	1032
0.568	1	1	3	1032
0.568	3	1	3	1032
0.569	1	1	3	1032
0.569	3	1	3	1032
0.57	1	1	3	1032
0.57	3	1	3	1032
0.571	1	1	3	1032
0.571	3	1	3	1032
0.572	1	1	3	1032
0.572	3	1	3	1032
0.573	1	1	3	1032
0.573	3	1	3	1032
0.574	1	1	3	1032
0.574	3	1	3	1032
0.575	1	1	3	1032
0.575	3	1	3	1032
0.576	1	1	3	1032
0.576	3	1	3	1032
0.577	1	1	3	1032
0.577	3	1	3	1032
0.578	1	1	3	1032
0.578	3	1	3	1032
0.579	1	1	3	1032
0.579	3	1	3	1032
0.58	1	1	3	1032
0.58	3	1	3	1032
0.581	1	1	3	1032
0.581	3	1	3	1032
0.582	1	1	3	1032
0.582	3	1	3	1032
0.583	1	1	3	1032
0.583	3	1	3	1032
0.584	1	1	3	1032
0.584	3	1	3	1032
0.585	1	1	3	1032
0.585	3	1	3	1032
0.586	1	1	3	1032
0.586	3	1	3	1032
0.587	1	1	3	1032
0.587	3	1	3	1032
0.588	1	1	3	1032
0.588	3	1	3	1032
0.589	1	1	3	1032
0.589	3	1	3	1032
0.59	1	1	3	1032
0.59	3	1	3	1032
0.591	1	1	3	1032
0.591	3	1	3	1032
0.592	1	1	3	1032
0.592	3	1	3	1032
0.593	1	1	3	1032
0.593	3	1	3	1032
0.594	1	1	3	1032
0.594	3	1	3	1032
0.595	1	1	3	1032
0.595	3	1	3	1032
0.596	1	1	3	1032
0.596	3	1	3	1032
0.597	1	1	3	1032
0.597	3	1	3	1032
0.598	1	1	3	1032
0.598	3	1	3	1032
