time(s)	cellId	rnti	lcid	packetSize
0.523003	3	1	3	1030
0.524002	1	1	3	1030
0.524003	3	1	3	1030
0.525002	1	1	3	1030
0.525003	3	1	3	1030
0.526002	1	1	3	1030
0.526003	3	1	3	1030
0.527002	1	1	3	1030
0.527003	3	1	3	1030
0.528002	1	1	3	1030
0.528003	3	1	3	1030
0.529002	1	1	3	1030
0.529003	3	1	3	1030
0.530002	1	1	3	1030
0.530003	3	1	3	1030
0.531002	1	1	3	1030
0.531003	3	1	3	1030
0.532002	1	1	3	1030
0.532003	3	1	3	1030
0.533002	1	1	3	1030
0.533003	3	1	3	1030
0.534002	1	1	3	1030
0.534003	3	1	3	1030
0.535002	1	1	3	1030
0.535003	3	1	3	1030
0.536002	1	1	3	1030
0.536003	3	1	3	1030
0.537002	1	1	3	1030
0.537003	3	1	3	1030
0.538002	1	1	3	1030
0.538003	3	1	3	1030
0.539002	1	1	3	1030
0.539003	3	1	3	1030
0.540002	1	1	3	1030
0.540003	3	1	3	1030
0.541002	1	1	3	1030
0.541003	3	1	3	1030
0.542002	1	1	3	1030
0.542003	3	1	3	1030
0.543002	1	1	3	1030
0.543003	3	1	3	1030
0.544002	1	1	3	1030
0.544003	3	1	3	1030
0.545002	1	1	3	1030
0.545003	3	1	3	1030
0.546002	1	1	3	1030
0.546003	3	1	3	1030
0.547002	1	1	3	1030
0.547003	3	1	3	1030
0.548002	1	1	3	1030
0.548003	3	1	3	1030
0.549002	1	1	3	1030
0.549003	3	1	3	1030
0.550002	1	1	3	1030
0.550003	3	1	3	1030
0.551002	1	1	3	1030
0.551003	3	1	3	1030
0.552002	1	1	3	1030
0.552003	3	1	3	1030
0.553002	1	1	3	1030
0.553003	3	1	3	1030
0.554002	1	1	3	1030
0.554003	3	1	3	1030
0.555002	1	1	3	1030
0.555003	3	1	3	1030
0.556002	1	1	3	1030
0.556003	3	1	3	1030
0.557002	1	1	3	1030
0.557003	3	1	3	1030
0.558002	1	1	3	1030
0.558003	3	1	3	1030
0.559002	1	1	3	1030
0.559003	3	1	3	1030
0.560002	1	1	3	1030
0.560003	3	1	3	1030
0.561002	1	1	3	1030
0.561003	3	1	3	1030
0.562002	1	1	3	1030
0.562003	3	1	3	1030
0.563002	1	1	3	1030
0.563003	3	1	3	1030
0.564002	1	1	3	1030
0.564003	3	1	3	1030
0.565002	1	1	3	1030
0.565003	3	1	3	1030
0.566002	1	1	3	1030
0.566003	3	1	3	1030
0.567002	1	1	3	1030
0.567003	3	1	3	1030
0.568002	1	1	3	1030
0.568003	3	1	3	1030
0.569002	1	1	3	1030
0.569003	3	1	3	1030
0.570002	1	1	3	1030
0.570003	3	1	3	1030
0.571002	1	1	3	1030
0.571003	3	1	3	1030
0.572002	1	1	3	1030
0.572003	3	1	3	1030
0.573002	1	1	3	1030
0.573003	3	1	3	1030
0.574002	1	1	3	1030
0.574003	3	1	3	1030
0.575002	1	1	3	1030
0.575003	3	1	3	1030
0.576002	1	1	3	1030
0.576003	3	1	3	1030
0.577002	1	1	3	1030
0.577003	3	1	3	1030
0.578002	1	1	3	1030
0.578003	3	1	3	1030
0.579002	1	1	3	1030
0.579003	3	1	3	1030
0.580002	1	1	3	1030
0.580003	3	1	3	1030
0.581002	1	1	3	1030
0.581003	3	1	3	1030
0.582002	1	1	3	1030
0.582003	3	1	3	1030
0.583002	1	1	3	1030
0.583003	3	1	3	1030
0.584002	1	1	3	1030
0.584003	3	1	3	1030
0.585002	1	1	3	1030
0.585003	3	1	3	1030
0.586002	1	1	3	1030
0.586003	3	1	3	1030
0.587002	1	1	3	1030
0.587003	3	1	3	1030
0.588002	1	1	3	1030
0.588003	3	1	3	1030
0.589002	1	1	3	1030
0.589003	3	1	3	1030
0.590002	1	1	3	1030
0.590003	3	1	3	1030
0.591002	1	1	3	1030
0.591003	3	1	3	1030
0.592002	1	1	3	1030
0.592003	3	1	3	1030
